1,1,25,226802,7,40, Private, 11th, Never-married, Black, Male, <=50K
67,67,41,445382,12,60, Self-emp-inc, Assoc-acdm, Married-civ-spouse, White, Male, >50K
68,68,19,105460,10,20, Private, Some-college, Never-married, White, Male, <=50K
69,69,46,170338,9,40, Private, HS-grad, Separated, White, Male, <=50K
70,70,43,102606,9,48, Private, HS-grad, Married-civ-spouse, White, Male, <=50K
71,71,55,323887,10,45, Private, Some-college, Married-civ-spouse, White, Male, >50K
72,72,46,175622,11,40, Private, Assoc-voc, Married-civ-spouse, White, Male, <=50K
73,73,30,229636,9,40, Private, HS-grad, Married-civ-spouse, White, Male, <=50K
74,74,21,388946,10,40, Private, Some-college, Separated, White, Female, <=50K
75,75,46,269034,10,40, Private, Some-college, Married-civ-spouse, Other, Male, <=50K
77,77,41,75012,9,50, Private, HS-grad, Married-civ-spouse, White, Male, <=50K
78,78,69,174379,9,30, Self-emp-inc, HS-grad, Married-civ-spouse, White, Male, <=50K
79,79,50,312477,9,40, Private, HS-grad, Married-civ-spouse, White, Male, <=50K
80,80,20,72055,10,40, Private, Some-college, Never-married, White, Female, <=50K
81,81,45,67001,10,50, Self-emp-inc, Some-college, Married-civ-spouse, White, Male, <=50K
82,82,23,213734,13,40, Private, Bachelors, Never-married, White, Male, <=50K
83,83,24,83141,10,40, Private, Some-college, Separated, White, Male, <=50K
84,84,44,223881,9,50, Self-emp-inc, HS-grad, Married-civ-spouse, White, Male, >50K
85,85,31,113752,10,50, Self-emp-not-inc, Some-college, Married-civ-spouse, White, Male, <=50K
86,86,43,170482,9,44, Private, HS-grad, Separated, White, Female, <=50K
87,87,20,244689,7,10, Federal-gov, 11th, Never-married, White, Female, <=50K
88,88,55,160631,9,56, Private, HS-grad, Married-civ-spouse, White, Male, >50K
89,89,24,228724,10,40, Federal-gov, Some-college, Never-married, White, Male, <=50K
91,91,59,292946,13,25, Private, Bachelors, Never-married, White, Female, <=50K
92,92,49,77443,4,20, Federal-gov, 7th-8th, Never-married, Black, Male, <=50K
93,93,33,176410,14,10, Private, Masters, Married-civ-spouse, White, Female, >50K
94,94,59,98984,13,40, Federal-gov, Bachelors, Divorced, White, Male, <=50K
95,95,34,198751,14,40, Private, Masters, Never-married, Amer-Indian-Eskimo, Male, <=50K
96,96,20,479296,9,40, Private, HS-grad, Never-married, White, Male, <=50K
97,97,25,235218,13,40, Private, Bachelors, Never-married, White, Female, <=50K
98,98,49,164877,6,40, Private, 10th, Married-civ-spouse, White, Male, <=50K
99,99,59,272087,9,40, Private, HS-grad, Married-civ-spouse, White, Male, >50K
100,100,20,169699,9,40, Private, HS-grad, Never-married, White, Female, <=50K
102,102,33,202191,10,35, Private, Some-college, Never-married, Black, Female, <=50K
103,103,22,212261,10,39, Private, Some-college, Never-married, Black, Male, <=50K
104,104,58,301568,5,40, Self-emp-not-inc, 9th, Widowed, White, Female, <=50K
105,105,52,155233,9,28, Local-gov, HS-grad, Widowed, White, Female, <=50K
106,106,36,75826,6,40, Private, 10th, Separated, White, Female, <=50K
107,107,41,201520,9,40, Local-gov, HS-grad, Married-civ-spouse, White, Male, <=50K
108,108,28,154236,9,40, Private, HS-grad, Never-married, White, Male, <=50K
109,109,19,289227,10,16, Private, Some-college, Never-married, Black, Male, <=50K
110,110,18,217439,9,28, Private, HS-grad, Never-married, White, Female, <=50K
111,111,18,179020,9,48, Private, HS-grad, Never-married, White, Female, <=50K
112,112,28,149624,10,40, Private, Some-college, Married-civ-spouse, White, Male, <=50K
113,113,29,337266,11,40, Private, Assoc-voc, Married-civ-spouse, White, Male, >50K
115,115,40,103541,10,40, Private, Some-college, Married-civ-spouse, White, Male, <=50K
116,116,26,206721,9,40, Private, HS-grad, Never-married, White, Male, <=50K
117,117,46,96773,9,40, Private, HS-grad, Married-civ-spouse, White, Male, <=50K
118,118,23,200967,7,24, Private, 11th, Never-married, White, Female, <=50K
119,119,44,180019,9,40, Private, HS-grad, Married-spouse-absent, White, Female, <=50K
120,120,43,179866,13,40, Private, Bachelors, Divorced, White, Female, >50K
121,121,31,198770,13,60, Local-gov, Bachelors, Divorced, White, Female, <=50K
122,122,18,219256,10,25, Private, Some-college, Never-married, White, Female, <=50K
123,123,19,248730,10,30, Private, Some-college, Never-married, White, Male, <=50K
124,124,41,110732,10,40, Private, Some-college, Divorced, White, Female, <=50K
125,125,41,181020,9,40, Private, HS-grad, Divorced, White, Female, <=50K
126,126,69,183791,9,25, Private, HS-grad, Divorced, White, Female, <=50K
127,127,48,42972,16,40, Federal-gov, Doctorate, Married-civ-spouse, White, Female, >50K
128,128,28,134813,9,40, Private, HS-grad, Never-married, White, Male, <=50K
129,129,27,115438,9,60, Self-emp-not-inc, HS-grad, Married-civ-spouse, White, Male, >50K
130,130,41,239296,14,50, Private, Masters, Married-civ-spouse, White, Male, >50K
131,131,41,428420,10,40, Private, Some-college, Married-civ-spouse, White, Male, <=50K
132,132,24,247846,9,40, Private, HS-grad, Never-married, Black, Female, <=50K
134,134,42,100793,16,41, Self-emp-inc, Doctorate, Married-civ-spouse, White, Male, >50K
135,135,57,244478,9,48, Private, HS-grad, Married-civ-spouse, Black, Male, <=50K
136,136,30,142921,12,40, Private, Assoc-acdm, Never-married, White, Female, <=50K
137,137,36,182863,9,60, Private, HS-grad, Married-civ-spouse, White, Male, >50K
138,138,49,171128,4,40, Private, 7th-8th, Married-civ-spouse, Black, Male, <=50K
139,139,33,145402,9,35, Private, HS-grad, Married-civ-spouse, White, Female, <=50K
140,140,23,306309,6,40, Private, 10th, Married-civ-spouse, White, Male, <=50K
141,141,46,83822,14,40, Private, Masters, Married-civ-spouse, White, Male, <=50K
142,142,18,262118,10,22, Private, Some-college, Never-married, Asian-Pac-Islander, Female, <=50K
143,143,40,155972,9,55, Private, HS-grad, Married-civ-spouse, White, Male, >50K
144,144,43,214503,9,45, Self-emp-inc, HS-grad, Married-civ-spouse, White, Male, >50K
145,145,34,159303,14,30, Private, Masters, Never-married, White, Female, <=50K
146,146,47,174995,9,30, Self-emp-not-inc, HS-grad, Widowed, White, Female, <=50K
147,147,44,26669,11,30, Private, Assoc-voc, Widowed, White, Female, <=50K
148,148,33,177727,9,40, Private, HS-grad, Married-civ-spouse, White, Male, >50K
149,149,55,124771,13,50, Private, Bachelors, Married-civ-spouse, White, Male, >50K
150,150,19,456736,9,30, Private, HS-grad, Never-married, White, Male, <=50K
151,151,28,216604,10,14, Private, Some-college, Never-married, Black, Male, <=50K
152,152,27,221561,7,32, Private, 11th, Married-civ-spouse, Black, Female, <=50K
153,153,50,114564,4,20, Private, 7th-8th, Married-civ-spouse, White, Male, <=50K
154,154,22,315476,7,40, Private, 11th, Never-married, White, Male, <=50K
155,155,40,67874,13,45, State-gov, Bachelors, Married-civ-spouse, White, Male, >50K
156,156,25,126110,10,40, Private, Some-college, Never-married, White, Female, <=50K
157,157,26,102264,9,40, Local-gov, HS-grad, Never-married, White, Male, <=50K
158,158,22,537222,13,25, Private, Bachelors, Never-married, White, Male, <=50K
159,159,42,113732,10,40, Private, Some-college, Never-married, Black, Female, <=50K
160,160,38,93225,13,40, Self-emp-inc, Bachelors, Divorced, White, Male, <=50K
161,161,55,43064,7,30, Private, 11th, Married-civ-spouse, White, Male, <=50K
162,162,32,136921,9,40, Private, HS-grad, Married-civ-spouse, White, Male, <=50K
163,163,22,388885,9,45, Private, HS-grad, Married-civ-spouse, White, Male, <=50K
164,164,29,142249,13,40, Private, Bachelors, Never-married, White, Male, <=50K
165,165,46,56841,14,45, State-gov, Masters, Married-civ-spouse, White, Male, >50K
166,166,31,156493,10,40, Private, Some-college, Married-civ-spouse, White, Male, >50K
167,167,58,159021,16,16, Self-emp-not-inc, Doctorate, Married-civ-spouse, White, Male, >50K
168,168,42,190910,9,45, Private, HS-grad, Married-civ-spouse, White, Male, <=50K
169,169,18,41879,9,25, Private, HS-grad, Never-married, White, Male, <=50K
170,170,58,137249,9,33, Local-gov, HS-grad, Divorced, White, Male, <=50K
171,171,54,236157,9,40, Private, HS-grad, Married-civ-spouse, White, Male, >50K
172,172,34,189759,14,40, Private, Masters, Never-married, White, Male, <=50K
173,173,26,239877,13,40, Private, Bachelors, Never-married, White, Female, <=50K
174,174,61,21175,8,60, Private, 12th, Married-civ-spouse, White, Male, <=50K
175,175,48,67229,14,40, Local-gov, Masters, Separated, Black, Female, <=50K
176,176,36,236391,10,45, Private, Some-college, Married-civ-spouse, White, Male, >50K
177,177,24,325596,11,45, Private, Assoc-voc, Married-civ-spouse, White, Male, <=50K
178,178,40,83411,10,37, Private, Some-college, Married-civ-spouse, White, Male, <=50K
179,179,33,154227,9,50, Self-emp-inc, HS-grad, Married-civ-spouse, White, Male, >50K
180,180,37,248010,10,40, Private, Some-college, Married-civ-spouse, White, Male, >50K
181,181,34,198613,14,40, Private, Masters, Never-married, White, Male, <=50K
182,182,56,321529,10,40, Self-emp-inc, Some-college, Married-civ-spouse, White, Male, >50K
184,184,37,203079,13,55, Private, Bachelors, Widowed, White, Female, <=50K
185,185,44,284652,9,40, Private, HS-grad, Divorced, Black, Female, <=50K
187,187,54,59840,9,45, Private, HS-grad, Divorced, White, Male, <=50K
188,188,23,52753,9,50, Private, HS-grad, Never-married, White, Male, <=50K
189,189,34,513100,13,40, State-gov, Bachelors, Married-spouse-absent, Black, Male, <=50K
190,190,22,199266,9,45, Private, HS-grad, Never-married, White, Female, <=50K
191,191,33,196385,13,40, Private, Bachelors, Married-civ-spouse, White, Male, >50K
192,192,39,163205,13,50, Private, Bachelors, Separated, White, Male, >50K
193,193,47,411047,10,37, Private, Some-college, Divorced, Black, Female, <=50K
195,195,26,209440,9,55, Private, HS-grad, Never-married, Black, Female, <=50K
196,196,31,56964,10,40, Private, Some-college, Divorced, White, Female, <=50K
197,197,44,299197,10,45, Private, Some-college, Never-married, White, Male, <=50K
198,198,42,240628,15,50, Self-emp-inc, Prof-school, Married-civ-spouse, White, Female, >50K
199,199,19,355313,9,40, Private, HS-grad, Never-married, White, Female, <=50K
200,200,27,132267,9,40, Private, HS-grad, Married-civ-spouse, White, Male, >50K
201,201,51,174861,10,40, Local-gov, Some-college, Married-civ-spouse, White, Male, >50K
202,202,28,142443,13,50, Self-emp-inc, Bachelors, Married-civ-spouse, White, Male, <=50K
203,203,57,26716,13,45, Private, Bachelors, Divorced, White, Male, <=50K
204,204,45,185588,13,40, Local-gov, Bachelors, Divorced, White, Female, <=50K
205,205,50,175029,11,40, Private, Assoc-voc, Married-civ-spouse, White, Male, >50K
206,206,34,34848,13,54, Self-emp-inc, Bachelors, Married-civ-spouse, White, Male, <=50K
207,207,45,411273,4,40, Private, 7th-8th, Married-civ-spouse, Black, Male, <=50K
208,208,73,143437,9,20, Local-gov, HS-grad, Married-civ-spouse, White, Male, <=50K
209,209,34,357145,13,50, Private, Bachelors, Married-civ-spouse, White, Female, >50K
210,210,31,236861,10,55, Private, Some-college, Married-civ-spouse, White, Male, >50K
211,211,19,53355,7,12, Private, 11th, Never-married, White, Male, <=50K
212,212,25,29106,10,50, Private, Some-college, Never-married, White, Female, <=50K
213,213,38,213274,11,40, Federal-gov, Assoc-voc, Divorced, White, Female, <=50K
214,214,39,22463,13,40, Private, Bachelors, Married-civ-spouse, White, Male, <=50K
215,215,23,180497,13,32, Private, Bachelors, Never-married, Black, Female, <=50K
216,216,49,37306,9,40, Private, HS-grad, Married-civ-spouse, White, Male, <=50K
217,217,33,137814,9,32, Federal-gov, HS-grad, Never-married, White, Male, <=50K
218,218,21,447488,3,38, Private, 5th-6th, Never-married, White, Male, <=50K
219,219,31,220915,11,40, Private, Assoc-voc, Separated, White, Male, <=50K
220,220,23,42251,13,45, Private, Bachelors, Never-married, White, Female, <=50K
221,221,34,162312,13,40, Private, Bachelors, Married-civ-spouse, Asian-Pac-Islander, Male, <=50K
222,222,25,77698,9,40, Private, HS-grad, Never-married, Asian-Pac-Islander, Female, <=50K
223,223,39,282951,9,40, Private, HS-grad, Never-married, White, Male, <=50K
224,224,52,311259,9,40, Self-emp-inc, HS-grad, Married-civ-spouse, White, Male, >50K
225,225,63,65479,5,40, Local-gov, 9th, Married-civ-spouse, White, Male, >50K
226,226,41,277256,10,40, Private, Some-college, Married-civ-spouse, White, Male, <=50K
227,227,46,312088,13,38, Private, Bachelors, Married-civ-spouse, White, Male, >50K
228,228,53,169719,9,40, Local-gov, HS-grad, Married-civ-spouse, White, Male, <=50K
231,231,18,96869,8,40, Private, 12th, Never-married, White, Male, <=50K
232,232,38,237943,15,50, Private, Prof-school, Married-civ-spouse, White, Male, <=50K
233,233,55,119751,14,50, Private, Masters, Never-married, Asian-Pac-Islander, Female, <=50K
234,234,34,236861,9,40, Private, HS-grad, Married-civ-spouse, White, Male, >50K
235,235,80,201092,9,30, Self-emp-not-inc, HS-grad, Married-civ-spouse, White, Male, <=50K
236,236,34,147215,11,60, Private, Assoc-voc, Divorced, White, Female, <=50K
237,237,52,152373,10,40, Private, Some-college, Married-civ-spouse, White, Male, <=50K
238,238,42,227968,9,28, Private, HS-grad, Never-married, Black, Female, <=50K
239,239,26,362617,10,40, Private, Some-college, Never-married, White, Female, <=50K
240,240,31,103435,9,40, Private, HS-grad, Married-civ-spouse, White, Male, <=50K
241,241,25,281412,9,35, Local-gov, HS-grad, Never-married, White, Female, <=50K
242,242,55,105239,9,60, Self-emp-not-inc, HS-grad, Married-civ-spouse, White, Male, <=50K
243,243,19,230165,10,12, Private, Some-college, Never-married, White, Female, <=50K
244,244,62,177493,10,32, Self-emp-not-inc, Some-college, Married-civ-spouse, White, Male, <=50K
245,245,22,104443,10,20, Federal-gov, Some-college, Never-married, White, Female, <=50K
247,247,35,143385,9,40, Private, HS-grad, Married-civ-spouse, White, Male, <=50K
248,248,28,107189,9,40, Private, HS-grad, Married-civ-spouse, White, Female, <=50K
249,249,47,212944,9,70, Private, HS-grad, Married-civ-spouse, White, Male, >50K
250,250,44,138634,9,40, State-gov, HS-grad, Married-civ-spouse, White, Male, <=50K
251,251,21,99970,10,15, Private, Some-college, Never-married, White, Male, <=50K
252,252,35,203717,11,50, Private, Assoc-voc, Never-married, White, Male, <=50K
253,253,24,313956,13,40, Private, Bachelors, Married-civ-spouse, White, Male, >50K
254,254,42,177937,13,40, Federal-gov, Bachelors, Never-married, White, Male, <=50K
255,255,28,193868,13,50, Private, Bachelors, Never-married, White, Male, <=50K
256,256,21,250939,10,35, Private, Some-college, Never-married, White, Male, <=50K
257,257,62,57629,10,40, Federal-gov, Some-college, Divorced, Black, Male, <=50K
258,258,39,281768,9,40, Private, HS-grad, Never-married, Black, Female, <=50K
259,259,30,260782,9,40, State-gov, HS-grad, Never-married, White, Male, <=50K
260,260,72,243769,15,20, Self-emp-not-inc, Prof-school, Never-married, White, Male, <=50K
261,261,50,109937,10,50, Private, Some-college, Married-civ-spouse, White, Female, <=50K
262,262,28,134890,14,40, Local-gov, Masters, Never-married, White, Male, <=50K
263,263,29,100293,10,40, Private, Some-college, Never-married, White, Female, <=50K
264,264,26,132179,13,40, Private, Bachelors, Never-married, White, Female, <=50K
265,265,27,116372,14,40, Private, Masters, Never-married, White, Female, <=50K
266,266,29,255412,10,40, Private, Some-college, Married-civ-spouse, White, Male, >50K
268,268,29,342400,6,25, Private, 10th, Married-civ-spouse, White, Male, <=50K
270,270,31,169085,7,20, Private, 11th, Married-civ-spouse, White, Female, <=50K
271,271,25,177221,9,75, Private, HS-grad, Married-civ-spouse, White, Male, <=50K
272,272,58,65325,6,40, Private, 10th, Married-civ-spouse, White, Male, >50K
273,273,64,118944,10,40, Private, Some-college, Married-civ-spouse, White, Female, >50K
274,274,46,149337,14,38, State-gov, Masters, Never-married, White, Male, <=50K
276,276,19,106183,9,35, Private, HS-grad, Never-married, Amer-Indian-Eskimo, Female, <=50K
277,277,42,226388,9,52, Private, HS-grad, Divorced, Black, Male, <=50K
278,278,18,220754,7,24, Private, 11th, Never-married, White, Male, <=50K
279,279,58,204021,13,50, Self-emp-inc, Bachelors, Married-civ-spouse, White, Male, >50K
280,280,20,347391,10,60, Private, Some-college, Never-married, Black, Male, <=50K
281,281,35,413930,9,40, Federal-gov, HS-grad, Married-civ-spouse, White, Male, >50K
282,282,32,174201,9,38, Private, HS-grad, Married-civ-spouse, White, Male, >50K
283,283,23,145917,9,25, Private, HS-grad, Never-married, White, Female, <=50K
284,284,31,241797,10,40, Private, Some-college, Divorced, White, Female, <=50K
285,285,33,265168,13,55, Private, Bachelors, Married-civ-spouse, Black, Male, <=50K
286,286,41,171234,10,48, Private, Some-college, Never-married, White, Female, <=50K
287,287,22,178452,9,40, Private, HS-grad, Never-married, Black, Male, <=50K
288,288,46,157857,10,40, Private, Some-college, Married-civ-spouse, White, Male, >50K
289,289,61,512864,10,40, Federal-gov, Some-college, Married-civ-spouse, Black, Male, <=50K
290,290,30,296462,9,40, Private, HS-grad, Never-married, Black, Male, <=50K
291,291,42,171615,9,55, Private, HS-grad, Married-civ-spouse, White, Male, >50K
292,292,63,214071,6,40, Private, 10th, Married-civ-spouse, White, Male, <=50K
293,293,26,172421,10,40, Private, Some-college, Married-civ-spouse, White, Male, <=50K
294,294,42,195488,6,40, Private, 10th, Divorced, White, Female, <=50K
295,295,23,316841,10,40, Private, Some-college, Married-civ-spouse, White, Male, <=50K
296,296,25,236267,9,40, Private, HS-grad, Never-married, White, Male, <=50K
297,297,30,236543,5,32, Private, 9th, Married-civ-spouse, White, Male, >50K
298,298,23,318483,9,40, Private, HS-grad, Never-married, White, Male, <=50K
299,299,34,163756,11,60, Self-emp-not-inc, Assoc-voc, Never-married, White, Male, >50K
300,300,30,238186,9,48, Private, HS-grad, Married-civ-spouse, White, Male, <=50K
301,301,39,329980,10,40, Private, Some-college, Married-civ-spouse, White, Male, >50K
302,302,30,169269,7,38, Private, 11th, Never-married, White, Male, <=50K
303,303,38,34744,10,38, Local-gov, Some-college, Divorced, White, Female, <=50K
304,304,26,98114,9,40, Private, HS-grad, Divorced, White, Female, <=50K
305,305,20,109667,10,16, Private, Some-college, Never-married, White, Male, <=50K
306,306,37,263690,13,40, Local-gov, Bachelors, Never-married, Black, Male, <=50K
307,307,33,147430,9,40, Private, HS-grad, Married-civ-spouse, White, Female, <=50K
308,308,24,224238,13,40, Private, Bachelors, Never-married, White, Male, <=50K
309,309,42,212894,13,60, Self-emp-inc, Bachelors, Married-civ-spouse, White, Male, >50K
310,310,51,136708,9,84, Self-emp-not-inc, HS-grad, Married-civ-spouse, Asian-Pac-Islander, Male, <=50K
311,311,56,38573,12,45, Local-gov, Assoc-acdm, Married-civ-spouse, White, Male, >50K
312,312,22,197200,10,40, Private, Some-college, Never-married, White, Male, <=50K
313,313,52,182796,10,60, Self-emp-not-inc, Some-college, Married-civ-spouse, White, Male, <=50K
314,314,44,184527,13,45, Private, Bachelors, Divorced, White, Female, >50K
315,315,34,145231,9,35, Private, HS-grad, Married-civ-spouse, White, Female, <=50K
316,316,51,43354,10,42, Private, Some-college, Divorced, White, Male, >50K
318,318,19,355712,10,25, Private, Some-college, Never-married, White, Female, <=50K
319,319,37,98776,13,40, Private, Bachelors, Married-civ-spouse, White, Male, >50K
320,320,68,257557,9,40, Private, HS-grad, Married-civ-spouse, Black, Male, >50K
321,321,22,102258,10,40, Private, Some-college, Divorced, White, Male, <=50K
322,322,56,170287,13,40, Self-emp-inc, Bachelors, Married-civ-spouse, White, Male, <=50K
323,323,37,243409,9,40, Private, HS-grad, Married-civ-spouse, White, Male, <=50K
324,324,52,55608,2,40, Private, 1st-4th, Married-civ-spouse, White, Male, <=50K
325,325,26,248057,9,40, Private, HS-grad, Separated, White, Male, <=50K
326,326,33,95530,14,50, Private, Masters, Married-civ-spouse, White, Male, <=50K
327,327,45,54038,14,42, Local-gov, Masters, Divorced, White, Female, <=50K
328,328,18,161245,7,15, Private, 11th, Never-married, White, Male, <=50K
329,329,43,388725,10,60, Self-emp-not-inc, Some-college, Married-civ-spouse, White, Male, >50K
330,330,64,71807,16,50, Self-emp-not-inc, Doctorate, Married-civ-spouse, White, Male, >50K
331,331,18,228216,9,20, Private, HS-grad, Never-married, White, Male, <=50K
333,333,57,78020,9,40, Private, HS-grad, Married-civ-spouse, White, Male, >50K
334,334,41,249254,9,42, Private, HS-grad, Divorced, White, Female, <=50K
335,335,34,87218,14,50, Private, Masters, Married-civ-spouse, White, Male, >50K
336,336,19,304299,9,40, Private, HS-grad, Never-married, White, Female, <=50K
337,337,44,196234,5,55, Private, 9th, Divorced, White, Female, <=50K
338,338,56,197875,6,40, Private, 10th, Widowed, White, Female, <=50K
339,339,36,48063,9,80, Self-emp-inc, HS-grad, Married-civ-spouse, White, Male, <=50K
340,340,48,253596,13,48, Private, Bachelors, Divorced, White, Female, <=50K
341,341,29,39257,9,40, Private, HS-grad, Married-civ-spouse, White, Male, >50K
342,342,33,56150,13,40, Private, Bachelors, Never-married, White, Male, <=50K
343,343,31,179415,3,40, Private, 5th-6th, Married-civ-spouse, White, Male, <=50K
344,344,39,252445,14,45, Private, Masters, Married-civ-spouse, White, Male, >50K
345,345,66,275918,9,40, Private, HS-grad, Married-civ-spouse, White, Male, >50K
346,346,27,106562,13,50, Private, Bachelors, Never-married, White, Female, >50K
347,347,39,198654,9,40, Private, HS-grad, Divorced, Black, Female, >50K
348,348,59,107318,4,50, Private, 7th-8th, Married-civ-spouse, White, Male, >50K
349,349,26,181896,9,40, Private, HS-grad, Never-married, White, Female, <=50K
350,350,31,106014,11,40, Private, Assoc-voc, Divorced, White, Male, <=50K
352,352,23,197997,9,30, Private, HS-grad, Never-married, White, Male, <=50K
353,353,36,173542,9,40, Local-gov, HS-grad, Divorced, White, Female, <=50K
354,354,34,207564,10,12, Private, Some-college, Married-civ-spouse, White, Female, >50K
355,355,32,224462,9,84, Private, HS-grad, Married-civ-spouse, White, Male, >50K
356,356,37,123361,13,50, Private, Bachelors, Married-civ-spouse, Black, Male, >50K
357,357,33,90409,13,45, Private, Bachelors, Never-married, White, Male, <=50K
358,358,50,165001,15,80, Self-emp-not-inc, Prof-school, Married-civ-spouse, White, Male, >50K
359,359,32,149573,12,40, Federal-gov, Assoc-acdm, Never-married, Black, Male, <=50K
360,360,35,249456,13,40, Private, Bachelors, Never-married, Black, Female, <=50K
361,361,37,149898,7,40, Private, 11th, Married-civ-spouse, White, Male, <=50K
362,362,44,292985,10,60, Private, Some-college, Divorced, White, Male, <=50K
363,363,57,50223,10,25, Private, Some-college, Divorced, White, Male, <=50K
364,364,29,400074,10,40, Local-gov, Some-college, Married-civ-spouse, White, Female, <=50K
365,365,55,197399,9,50, Private, HS-grad, Married-civ-spouse, White, Male, >50K
366,366,43,209547,15,25, Self-emp-inc, Prof-school, Married-civ-spouse, White, Male, >50K
367,367,43,52433,10,70, Private, Some-college, Married-civ-spouse, White, Male, <=50K
